transaction_id,region,state,city
1,West,California,San Francisco
2,West,California,San Francisco
3,West,California,San Francisco
4,West,California,San Francisco
5,West,California,San Francisco
6,West,California,San Francisco
7,West,California,San Francisco
8,West,California,San Francisco
9,West,California,San Francisco
10,West,California,San Francisco
11,West,California,San Francisco
12,West,California,San Francisco
13,West,California,San Francisco
14,West,California,San Francisco
15,West,California,San Francisco
16,West,California,San Francisco
17,West,California,San Francisco
18,West,California,San Francisco
19,West,California,San Francisco
20,West,California,San Francisco
21,West,California,San Francisco
22,West,California,San Francisco
23,West,California,San Francisco
24,West,California,San Francisco
25,West,California,San Francisco
26,West,California,San Francisco
27,West,California,San Francisco
28,West,California,San Francisco
29,West,California,San Francisco
30,West,California,San Francisco
31,West,California,San Francisco
32,West,California,San Francisco
33,West,California,San Francisco
34,West,California,San Francisco
35,West,California,San Francisco
36,West,California,San Francisco
37,West,California,San Francisco
38,West,California,San Francisco
39,West,California,San Francisco
40,West,California,San Francisco
41,West,California,San Francisco
42,West,California,San Francisco
43,West,California,San Francisco
44,West,California,San Francisco
45,West,California,San Francisco
46,West,California,San Francisco
47,West,California,San Francisco
48,West,California,San Francisco
49,West,California,San Francisco
50,West,California,San Francisco
51,West,California,San Francisco
52,West,California,Los Angeles
53,West,California,Los Angeles
54,West,California,Los Angeles
55,West,California,Los Angeles
56,West,California,Los Angeles
57,West,California,Los Angeles
58,West,California,Los Angeles
59,West,California,Los Angeles
60,West,California,Los Angeles
61,West,California,Los Angeles
62,West,California,Los Angeles
63,West,California,Los Angeles
64,West,California,Los Angeles
65,West,California,Los Angeles
66,West,California,Los Angeles
67,West,California,Los Angeles
68,West,California,Los Angeles
69,West,California,Los Angeles
70,West,California,Los Angeles
71,West,California,Los Angeles
72,West,California,Los Angeles
73,West,California,Los Angeles
74,West,California,Los Angeles
75,West,California,Los Angeles
76,West,California,Los Angeles
77,West,California,Los Angeles
78,West,California,Los Angeles
79,West,California,Los Angeles
80,West,California,Los Angeles
81,West,California,Los Angeles
82,West,California,Los Angeles
83,West,California,Los Angeles
84,West,California,Los Angeles
85,West,California,Los Angeles
86,West,California,Los Angeles
87,West,California,Los Angeles
88,West,California,Los Angeles
89,West,California,Los Angeles
90,West,California,Los Angeles
91,West,California,Los Angeles
92,West,California,Los Angeles
93,West,California,Los Angeles
94,West,California,Los Angeles
95,West,California,Los Angeles
96,West,California,Los Angeles
97,West,California,Los Angeles
98,West,California,Los Angeles
99,West,California,Los Angeles
100,West,California,Los Angeles
101,West,California,Los Angeles
102,West,California,Los Angeles
103,West,California,Los Angeles
104,West,California,Los Angeles
105,West,California,Los Angeles
106,West,California,Los Angeles
107,West,California,Los Angeles
108,West,California,Los Angeles
109,West,California,Los Angeles
110,West,California,Los Angeles
111,West,California,Los Angeles
112,West,California,Los Angeles
113,West,California,Los Angeles
114,West,California,Los Angeles
115,West,California,Los Angeles
116,West,California,Los Angeles
117,West,California,Los Angeles
118,West,California,Los Angeles
119,West,California,Los Angeles
120,West,California,Los Angeles
121,West,California,Los Angeles
122,West,California,Los Angeles
123,West,California,Los Angeles
124,Midwest,Illinois,Chicago
125,Midwest,Illinois,Chicago
126,Midwest,Illinois,Chicago
127,Midwest,Illinois,Chicago
128,Midwest,Illinois,Chicago
129,Midwest,Illinois,Chicago
130,Midwest,Illinois,Chicago
131,Midwest,Illinois,Chicago
132,Midwest,Illinois,Chicago
133,Midwest,Illinois,Chicago
134,Midwest,Illinois,Chicago
135,Midwest,Illinois,Chicago
136,Midwest,Illinois,Chicago
137,Midwest,Illinois,Chicago
138,Midwest,Illinois,Chicago
139,Midwest,Illinois,Chicago
140,Midwest,Illinois,Chicago
141,Midwest,Illinois,Chicago
142,Midwest,Illinois,Chicago
143,Midwest,Illinois,Chicago
144,Midwest,Illinois,Chicago
145,Midwest,Illinois,Chicago
146,Midwest,Illinois,Chicago
147,Midwest,Illinois,Chicago
148,Midwest,Illinois,Chicago
149,Midwest,Illinois,Chicago
150,Midwest,Illinois,Chicago
151,Midwest,Illinois,Chicago
152,Midwest,Illinois,Chicago
153,Midwest,Illinois,Chicago
154,Midwest,Illinois,Chicago
155,Midwest,Illinois,Chicago
156,Midwest,Illinois,Chicago
157,Midwest,Illinois,Chicago
158,Midwest,Illinois,Chicago
159,Midwest,Illinois,Chicago
160,Midwest,Illinois,Chicago
161,Midwest,Illinois,Chicago
162,Midwest,Illinois,Chicago
163,Midwest,Illinois,Chicago
164,Midwest,Illinois,Chicago
165,Midwest,Illinois,Chicago
166,Midwest,Illinois,Chicago
167,Midwest,Illinois,Chicago
168,Midwest,Illinois,Chicago
169,Midwest,Illinois,Chicago
170,Midwest,Illinois,Chicago
171,Midwest,Illinois,Chicago
172,Midwest,Illinois,Chicago
173,Midwest,Illinois,Chicago
174,Midwest,Illinois,Chicago
175,Midwest,Illinois,Chicago
176,Midwest,Illinois,Chicago
177,Midwest,Illinois,Chicago
178,Midwest,Illinois,Chicago
179,Midwest,Illinois,Chicago
180,Midwest,Illinois,Chicago
181,Midwest,Illinois,Chicago
182,Midwest,Illinois,Chicago
183,Midwest,Illinois,Chicago
184,Midwest,Illinois,Chicago
185,Midwest,Illinois,Chicago
186,Midwest,Illinois,Chicago
187,Midwest,Illinois,Chicago
188,Midwest,Illinois,Chicago
189,Midwest,Illinois,Chicago
190,Midwest,Illinois,Chicago
191,Midwest,Illinois,Chicago
192,Midwest,Illinois,Chicago
193,Midwest,Illinois,Chicago
194,Midwest,Illinois,Chicago
195,Midwest,Illinois,Chicago
196,South,Texas,Dallas
197,South,Texas,Dallas
198,South,Texas,Dallas
199,South,Texas,Dallas
200,South,Texas,Dallas
201,South,Texas,Dallas
202,South,Texas,Dallas
203,South,Texas,Dallas
204,South,Texas,Dallas
205,South,Texas,Dallas
206,South,Texas,Dallas
207,South,Texas,Dallas
208,South,Texas,Dallas
209,South,Texas,Dallas
210,South,Texas,Dallas
211,South,Texas,Dallas
212,South,Texas,Dallas
213,South,Texas,Dallas
214,South,Texas,Dallas
215,South,Texas,Dallas
216,South,Texas,Dallas
217,South,Texas,Dallas
218,South,Texas,Dallas
219,South,Texas,Dallas
220,South,Texas,Dallas
221,South,Texas,Dallas
222,South,Texas,Dallas
223,South,Texas,Dallas
224,South,Texas,Dallas
225,South,Texas,Dallas
226,South,Texas,Dallas
227,South,Texas,Dallas
228,South,Texas,Dallas
229,South,Texas,Dallas
230,South,Texas,Dallas
231,South,Texas,Dallas
232,South,Texas,Dallas
233,South,Texas,Dallas
234,South,Texas,Dallas
235,South,Texas,Dallas
236,South,Texas,Dallas
237,South,Texas,Dallas
238,South,Texas,Dallas
239,South,Texas,Dallas
240,South,Texas,Dallas
241,South,Texas,Dallas
242,South,Texas,Dallas
243,South,Texas,Dallas
244,South,Texas,Dallas
245,South,Texas,Dallas
246,South,Texas,Dallas
247,South,Texas,Dallas
248,South,Texas,Dallas
249,South,Texas,Dallas
250,South,Texas,Dallas
251,South,Texas,Dallas
252,South,Texas,Dallas
253,South,Texas,Dallas
254,South,Texas,Dallas
255,South,Texas,Dallas
256,South,Texas,Dallas
257,South,Texas,Dallas
258,South,Texas,Dallas
259,South,Texas,Dallas
260,South,Texas,Dallas
261,South,Texas,Dallas
262,South,Texas,Dallas
263,South,Texas,Dallas
264,South,Texas,Dallas
265,South,Texas,Dallas
266,South,Texas,Dallas
267,South,Texas,Dallas
268,Northeast,Pennsylvania,Philadelphia
269,Northeast,Pennsylvania,Philadelphia
270,Northeast,Pennsylvania,Philadelphia
271,Northeast,Pennsylvania,Philadelphia
272,Northeast,Pennsylvania,Philadelphia
273,Northeast,Pennsylvania,Philadelphia
274,Northeast,Pennsylvania,Philadelphia
275,Northeast,Pennsylvania,Philadelphia
276,Northeast,Pennsylvania,Philadelphia
277,Northeast,Pennsylvania,Philadelphia
278,Northeast,Pennsylvania,Philadelphia
279,Northeast,Pennsylvania,Philadelphia
280,Northeast,Pennsylvania,Philadelphia
281,Northeast,Pennsylvania,Philadelphia
282,Northeast,Pennsylvania,Philadelphia
283,Northeast,Pennsylvania,Philadelphia
284,Northeast,Pennsylvania,Philadelphia
285,Northeast,Pennsylvania,Philadelphia
286,Northeast,Pennsylvania,Philadelphia
287,Northeast,Pennsylvania,Philadelphia
288,Northeast,Pennsylvania,Philadelphia
289,Northeast,Pennsylvania,Philadelphia
290,Northeast,Pennsylvania,Philadelphia
291,Northeast,Pennsylvania,Philadelphia
292,Northeast,Pennsylvania,Philadelphia
293,Northeast,Pennsylvania,Philadelphia
294,Northeast,Pennsylvania,Philadelphia
295,Northeast,Pennsylvania,Philadelphia
296,Northeast,Pennsylvania,Philadelphia
297,Northeast,Pennsylvania,Philadelphia
298,Northeast,Pennsylvania,Philadelphia
299,Northeast,Pennsylvania,Philadelphia
300,Northeast,Pennsylvania,Philadelphia
301,Northeast,Pennsylvania,Philadelphia
302,Northeast,Pennsylvania,Philadelphia
303,Northeast,Pennsylvania,Philadelphia
304,Northeast,Pennsylvania,Philadelphia
305,Northeast,Pennsylvania,Philadelphia
306,Northeast,Pennsylvania,Philadelphia
307,Northeast,Pennsylvania,Philadelphia
308,Northeast,Pennsylvania,Philadelphia
309,Northeast,Pennsylvania,Philadelphia
310,Northeast,Pennsylvania,Philadelphia
311,Northeast,Pennsylvania,Philadelphia
312,Northeast,Pennsylvania,Philadelphia
313,Northeast,Pennsylvania,Philadelphia
314,Northeast,Pennsylvania,Philadelphia
315,Northeast,Pennsylvania,Philadelphia
316,Northeast,Pennsylvania,Philadelphia
317,Northeast,Pennsylvania,Philadelphia
318,Northeast,Pennsylvania,Philadelphia
319,Northeast,Pennsylvania,Philadelphia
320,Northeast,Pennsylvania,Philadelphia
321,Northeast,Pennsylvania,Philadelphia
322,Northeast,Pennsylvania,Philadelphia
323,Northeast,Pennsylvania,Philadelphia
324,Northeast,Pennsylvania,Philadelphia
325,Northeast,Pennsylvania,Philadelphia
326,Northeast,Pennsylvania,Philadelphia
327,Northeast,Pennsylvania,Philadelphia
328,Northeast,Pennsylvania,Philadelphia
329,Northeast,Pennsylvania,Philadelphia
330,Northeast,Pennsylvania,Philadelphia
331,Northeast,Pennsylvania,Philadelphia
332,Northeast,Pennsylvania,Philadelphia
333,Northeast,Pennsylvania,Philadelphia
334,Northeast,Pennsylvania,Philadelphia
335,Midwest,Montana,Billings
336,Midwest,Montana,Billings
337,Midwest,Montana,Billings
338,Midwest,Montana,Billings
339,Midwest,Montana,Billings
340,Midwest,Montana,Billings
341,Midwest,Montana,Billings
342,Midwest,Montana,Billings
343,Midwest,Montana,Billings
344,Midwest,Montana,Billings
345,Midwest,Montana,Billings
346,Midwest,Montana,Billings
347,Midwest,Montana,Billings
348,Midwest,Montana,Billings
349,Midwest,Montana,Billings
350,Midwest,Montana,Billings
351,Midwest,Montana,Billings
352,Midwest,Montana,Billings
353,Midwest,Montana,Billings
354,Midwest,Montana,Billings
355,Midwest,Montana,Billings
356,Midwest,Montana,Billings
357,Midwest,Montana,Billings
358,Midwest,Montana,Billings
359,Midwest,Montana,Billings
360,Midwest,Montana,Billings
361,Midwest,Montana,Billings
362,Midwest,Montana,Billings
363,Midwest,Montana,Billings
364,Midwest,Montana,Billings
365,Midwest,Montana,Billings
366,Midwest,Montana,Billings
367,Midwest,Montana,Billings
368,Midwest,Montana,Billings
369,Midwest,Montana,Billings
370,Midwest,Montana,Billings
371,Midwest,Montana,Billings
372,Midwest,Montana,Billings
373,Midwest,Montana,Billings
374,Midwest,Montana,Billings
375,Midwest,Montana,Billings
376,Midwest,Montana,Billings
377,Midwest,Montana,Billings
378,Midwest,Montana,Billings
379,Midwest,Montana,Billings
380,Midwest,Montana,Billings
381,Midwest,Montana,Billings
382,Midwest,Montana,Billings
383,Midwest,Montana,Billings
384,Midwest,Montana,Billings
385,Midwest,Montana,Billings
386,Midwest,Montana,Billings
387,Midwest,Montana,Billings
388,Midwest,Montana,Billings
389,Midwest,Montana,Billings
390,Midwest,Montana,Billings
391,Midwest,Montana,Billings
392,Midwest,Montana,Billings
393,Midwest,Montana,Billings
